upc,price,quantity,internal_id,department,name,properties,tags
811538010115,4.27,.00000000,,LIQUOR,1800 Silver 50ml 1800 Silver,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
811538010122,18.18,.00000000,,LIQUOR,silver 375ml 1800 Silver,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
811538010993,19.25,.00000000,,LIQUOR,Classic Marg 1.75ml Jose Cuervo,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
811538019156,23.53,.00000000,,LIQUOR,1800 Margarita 1800,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
812459012004,51.35,.00000000,,LIQUOR,Calumet Bourbon,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
813219020048,37.44,.00000000,,LIQUOR,Teeling 750ml Irish Whiskey,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
817904007949,12.83,.00000000,,BEER,Hazy IPA Elysian,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
819578010478,12.83,.00000000,,BEER,Road 2 Run Two Roads,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
819913012594,21.39,.00000000,,Soda,v o j l,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
835229002302,21.79,.00000000,,LIQUOR,mandrin Absolut,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
848557000001,8.55,.00000000,,BEER,Crabbies 4pk Crabbies,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
850001147002,17.11,.00000000,,BEER,Mapple nipple Lawson,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
850001901116,56.7,.00000000,,LIQUOR,Piggy Back 6yr Whistlepig,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
850006430000,4.27,.00000000,,BEER,Taj 650ml Taj,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
850113006235,15.18,.00000000,,BEER,Zero Gravity Madonna 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""Atlantic"", ""description"": ""NULL""}",['high_margin']
852313004837,18.18,.00000000,,BEER,Press 12pk Var Press,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
852411007563,16.04,.00000000,,WINE,Lifevine Cab Sauv Lifevine,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
852411007570,16.04,.00000000,,WINE,Chard Life Vine,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
853239007018,16.04,.00000000,,BEER,Mast Landing DDH Tell Tale 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
853239007049,16.04,.00000000,,BEER,Dash 4pk Mast Landing,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
853239007780,18.18,.00000000,,BEER,Mast Landing Sports & Leisure 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
854924003773,12.83,.00000000,,BEER,Riverwalk IPA IPA 4pk,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
855067006270,12.83,.00000000,,BEER,Stormalong Red Skies 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""Atlantic"", ""description"": ""NULL""}",['high_margin']
855067006331,11.76,.00000000,,BEER,Blue Hills Stormalong,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
855775006647,16.04,.00000000,,BEER,Czarface Bent Water,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
855775006715,16.04,.00000000,,NONE,Felix Bent Water,"{""department"": ""NONE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
